Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,Bb+1,1,70,,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,],,,,
,[,,,,
,Bb+1,2,70,0,
,C+1,2,72,4,
,C+1,2,72,0,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,F+1,2,65,-4,
,G+1,8,67,4,
,],,,,
,,,,,
,[,,,,
,Bb+1,2,70,6,
,C+1,2,72,4,
,Dk+1,2,73,3,2048
,Dk+1,2,73,0,2048
,C+1,2,72,-3,0
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,Bb+1,4,70,3,0
,,,,,
,Ak+1,2,68,-3,2048
,Bb+1,2,70,3,0
,C+1,2,72,4,
,C+1,2,72,0,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,F+1,2,65,-4,
,G+1,8,67,4,
,],,,,
,,,,,
,[,,,,
,Bb+1,1,70,6,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,1,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,],,,,
,[,,,,
,Bb+1,1,70,0,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,2,73,0,2048
,C+1,4,72,-3,0
,C+1,1,72,0,
,Bb+1,4,70,-4,
,],,,,
,,,,,
,[,,,,
,Bb+1,1,70,0,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,2,73,0,2048
,C+1,4,72,-3,0
,C+1,1,72,0,
,Bb+1,4,70,-4,
,,,,,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,C+1,1,72,0,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,2,72,4,
,C+1,2,72,0,
,Bb+1,4,70,-4,
,Bb+1,1,70,0,
,Ak+1,4,68,-3,2048
,G+1,2,67,-3,0
,],,,,
,,,,,
,[,,,,
,Ak+1,1,68,3,2048
,Bb+1,1,70,3,0
,Bb+1,1,70,0,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,Ak+1,1,68,3,2048
,Bb+1,1,70,3,0
,Bb+1,1,70,0,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,,,,,
,Ak+1,1,68,3,2048
,Bb+1,1,70,3,0
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,,,,,
,C+1,1,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Dk+1,1,73,7,2048
,Bb+1,1,70,-7,0
,C+1,2,72,4,
,],,,,
,,,,,
,[,,,,
,C+1,2,72,0,
,C+1,1,72,0,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
,,,,,
,[,,,,
,Bb+1,1,70,6,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,C+1,2,72,4,
,Bb+1,1,70,-4,
,C+1,2,72,4,
,Bb+1,1,70,-4,
,],,,,
,[,,,,
,Bb+1,2,70,0,
,C+1,2,72,4,
,Dk+1,2,73,3,2048
,Eb+1,1,75,3,0
,Dk+1,4,73,-3,2048
,Dk+1,1,73,0,2048
,C+1,4,72,-3,0
,],,,,
,,,,,
,[,,,,
,C+1,1,72,0,
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,4,72,-3,0
,C+1,1,72,0,
,Bb+1,8,70,-4,
,],,,,
,,,,,
,[,,,,
,Dk+1,2,73,7,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,2,72,-3,0
,C+1,1,72,0,
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,4,72,-3,0
,C+1,1,72,0,
,Bb+1,4,70,-4,
,,,,,
,Eb+1,2,75,10,
,Eb+1,1,75,0,
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,1,73,3,2048
,Eb+1,1,75,3,0
,Dk+1,2,73,-3,2048
,Dk+1,1,73,0,2048
,Eb+1,2,75,3,0
,Eb+1,1,75,0,
,Dk+1,4,73,-3,2048
,Dk+1,1,73,0,2048
,C+1,4,72,-3,0
,,,,,
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,2,72,-3,0
,C+1,1,72,0,
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,4,72,-3,0
,C+1,1,72,0,
,Bb+1,4,70,-4,
,,,,,
,C+1,2,72,4,
,C+1,1,72,0,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,[,,,,
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,1,70,0,
,Ak+1,4,68,-3,2048
,G+1,8,67,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,Bb+1,1,70,6,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,2,72,4,
,Bb+1,4,70,-4,
,Ak+1,1,68,-3,2048
,G+1,1,67,-3,0
,F+1,8,65,-4,
,,,,,
,Bb+1,1,70,10,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,2,72,4,
,Bb+1,4,70,-4,
,Ak+1,1,68,-3,2048
,G+1,1,67,-3,0
,F+1,8,65,-4,
,],,,,
,,,,,
,[,,,,
,Ak+1,2,68,7,2048
,Bb+1,2,70,3,0
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,4,70,-4,
,Ak+1,1,68,-3,2048
,G+1,1,67,-3,0
,F+1,2,65,-4,
,],,,,
,,,,,
,[,,,,
,[ ,,,,
,Ak+1,2,68,7,2048
,Bb+1,2,70,3,0
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,Bb+1,2,70,-4,
,C+1,2,72,4,
,],,,,
,,,,,
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Dk+1,1,73,3,2048
,C+1,1,72,-3,0
